state,district,school,ap,type,total,American Indian/Alaska Native,Asian,Black,Hispanic,Native Hawaiian/Pacific Islander,Two or More Races,White
ALABAMA,Escambia County,Flomaton High Sch,No,total,472,31,0,76,4,0,0,361
ALABAMA,Escambia County,W S Neal High Sch,No,total,412,10,0,112,4,2,4,280
ALABAMA,Etowah County,Gaston High Sch,Yes,ap,61,0,0,4,2,0,0,55
ALABAMA,Etowah County,Gaston High Sch,Yes,total,593,2,2,64,7,0,13,505
ALABAMA,Etowah County,Glencoe High Sch,Yes,ap,66,0,2,0,0,0,0,64
ALABAMA,Etowah County,Glencoe High Sch,Yes,total,349,0,4,4,2,0,2,337
ALABAMA,Etowah County,Hokes Bluff High Sch,Yes,ap,64,0,0,0,0,0,0,64
ALABAMA,Etowah County,Hokes Bluff High Sch,Yes,total,431,0,0,4,4,0,2,421
ALABAMA,Etowah County,Sardis High Sch,Yes,ap,61,0,0,0,0,0,0,61
ALABAMA,Etowah County,Sardis High Sch,Yes,total,465,2,2,4,22,0,2,433
ALABAMA,Etowah County,Southside High Sch,Yes,ap,105,0,2,2,4,0,0,97
ALABAMA,Etowah County,Southside High Sch,Yes,total,869,2,25,34,16,2,0,790
ALABAMA,Etowah County,West End High Sch,Yes,ap,19,0,0,0,0,0,0,19
ALABAMA,Etowah County,West End High Sch,Yes,total,406,2,0,4,16,0,2,382
ALABAMA,Eufaula City,Eufaula High Sch,Yes,ap,99,0,2,22,2,0,0,73
ALABAMA,Eufaula City,Eufaula High Sch,Yes,total,794,0,7,421,34,0,4,328
ALABAMA,Fairfield City,Fairfield High Preparatory Sch,Yes,ap,55,0,0,55,0,0,0,0
ALABAMA,Fairfield City,Fairfield High Preparatory Sch,Yes,total,775,2,0,751,10,0,2,10
ALABAMA,Fayette County,Berry High Sch,No,total,260,0,0,10,4,0,2,244
ALABAMA,Fayette County,Fayette Co High Sch,No,total,373,0,2,88,4,0,2,277
ALABAMA,Fayette County,Hubbertville Sch,No,total,425,2,0,4,0,2,2,415
ALABAMA,Florence City,Florence High Sch,Yes,ap,209,0,7,22,10,0,10,160
ALABAMA,Florence City,Florence High Sch,Yes,total,1057,2,13,328,70,0,22,622
ALABAMA,Fort Payne City,Fort Payne High Sch,Yes,ap,27,0,2,2,4,0,0,19
ALABAMA,Fort Payne City,Fort Payne High Sch,Yes,total,926,4,4,46,295,2,19,556
ALABAMA,Franklin County,Belgreen High Sch,No,total,452,2,0,4,52,0,0,394
ALABAMA,Franklin County,Franklin Co Career Tech Ctr,No,total,310,19,0,0,0,2,0,289
ALABAMA,Franklin County,Phil Campbell High Sch,No,total,365,0,0,2,7,0,7,349
ALABAMA,Franklin County,Red Bay High Sch,No,total,772,2,10,16,28,0,10,706
ALABAMA,Franklin County,Tharptown High Sch,No,total,308,2,2,10,91,0,4,199
ALABAMA,Franklin County,Vina High Sch,No,total,301,2,2,7,2,0,2,286
ALABAMA,Gadsden City,Gadsden City High Sch,Yes,ap,120,2,7,25,13,0,0,73
ALABAMA,Gadsden City,Gadsden City High Sch,Yes,total,1496,7,16,769,130,2,7,565
ALABAMA,Geneva City,Geneva High Sch,Yes,ap,19,0,0,0,0,0,0,19
ALABAMA,Geneva City,Geneva High Sch,Yes,total,329,0,0,46,7,0,2,274
ALABAMA,Geneva County,Geneva Co High Sch,No,total,235,0,0,43,13,0,7,172
ALABAMA,Geneva County,Samson High Sch,No,total,257,0,0,34,22,0,2,199
ALABAMA,Geneva County,Slocomb High Sch,No,total,390,2,2,52,25,0,2,307
ALABAMA,Glenwood Mental Health Services,Allan Cott,No,total,35,0,0,13,0,0,0,22
ALABAMA,Greene County,Greene Co Career Ctr,No,total,304,0,0,304,0,0,0,0
ALABAMA,Greene County,Greene Co High Sch,Yes,ap,16,0,0,16,0,0,0,0
ALABAMA,Greene County,Greene Co High Sch,Yes,total,355,0,2,349,2,0,2,0
ALABAMA,Guntersville City,Guntersville High Sch,Yes,ap,130,4,7,4,4,0,2,109
ALABAMA,Guntersville City,Guntersville High Sch,Yes,total,613,4,13,55,49,4,16,472
ALABAMA,Hale County,Greensboro High Sch,Yes,ap,103,0,0,103,0,0,0,0
ALABAMA,Hale County,Greensboro High Sch,Yes,total,466,0,0,457,2,0,0,7
ALABAMA,Hale County,Hale Co High Sch,Yes,ap,9,0,0,7,0,0,0,2
ALABAMA,Hale County,Hale Co High Sch,Yes,total,414,2,0,178,7,0,4,223
ALABAMA,Haleyville City,Haleyville High Sch,Yes,ap,72,2,0,2,4,0,0,64
ALABAMA,Haleyville City,Haleyville High Sch,Yes,total,561,4,4,13,34,0,4,502
ALABAMA,Hartselle City,Hartselle High Sch,Yes,ap,296,2,4,7,4,2,0,277
ALABAMA,Hartselle City,Hartselle High Sch,Yes,total,935,5,10,52,28,7,4,829
ALABAMA,Henry County,Abbeville High Sch,No,total,390,0,2,250,10,0,7,121
ALABAMA,Henry County,Camp Sayla,No,total,26,0,0,22,0,0,0,4
ALABAMA,Henry County,Headland High Sch,Yes,ap,56,0,0,5,2,0,0,49
ALABAMA,Henry County,Headland High Sch,Yes,total,440,0,4,79,10,0,4,343
ALABAMA,Higdon Hill School,Higdon Hill,No,total,106,0,0,43,5,0,0,58
ALABAMA,Higdon Hill School,Higdon Hill School,No,total,103,0,0,43,2,0,0,58
ALABAMA,Homewood City,Homewood High Sch,Yes,ap,350,0,16,46,16,0,10,262
ALABAMA,Homewood City,Homewood High Sch,Yes,total,1139,0,34,307,115,0,25,658
ALABAMA,Hoover City,Hoover High Sch,Yes,ap,482,0,64,76,19,0,13,310
ALABAMA,Hoover City,Hoover High Sch,Yes,total,2967,2,175,826,229,2,76,1657
ALABAMA,Hoover City,Spain Park High Sch,Yes,ap,555,0,67,67,16,4,10,391
ALABAMA,Hoover City,Spain Park High Sch,Yes,total,1677,0,88,415,88,4,46,1036
ALABAMA,Houston County,Ashford High Sch,No,total,709,2,4,166,10,0,13,514
ALABAMA,Houston County,Cottonwood High Sch,Yes,ap,2,0,0,0,0,0,0,2
ALABAMA,Houston County,Cottonwood High Sch,Yes,total,756,0,2,106,16,0,10,622
ALABAMA,Houston County,Houston Co High Sch,No,total,321,2,0,136,10,0,4,169
ALABAMA,Houston County,Rehobeth High Sch,No,total,724,2,4,58,34,0,4,622
ALABAMA,Houston County,Wicksburg High Sch,Yes,ap,2,0,0,0,0,0,0,2
ALABAMA,Houston County,Wicksburg High Sch,Yes,total,966,2,4,49,43,2,13,853
ALABAMA,Huntsville City,Columbia High School,Yes,ap,36,0,2,19,4,0,4,7
ALABAMA,Huntsville City,Columbia High School,Yes,total,967,7,10,574,160,7,64,145
ALABAMA,Huntsville City,Huntsville High Sch,Yes,ap,702,4,16,49,40,0,28,565
ALABAMA,Huntsville City,Huntsville High Sch,Yes,total,1909,13,40,415,118,7,73,1243
ALABAMA,Huntsville City,JO Johnson High Sch,Yes,ap,168,0,2,148,7,0,7,4
ALABAMA,Huntsville City,JO Johnson High Sch,Yes,total,713,0,4,625,46,0,22,16
ALABAMA,Huntsville City,Lee High Sch,Yes,ap,154,0,2,94,10,0,8,40
ALABAMA,Huntsville City,Lee High Sch,Yes,total,770,4,2,523,46,4,40,151
ALABAMA,Huntsville City,New Century Tech Demo High Sch,Yes,ap,226,0,10,85,25,2,16,88
